key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-airline-manager-01,true,"UserIdentity{name: 'Alberto', surname: 'Escobar', email: 'manager1@acme.com'}",manager1,manager1
user-account-airline-manager-02,true,"UserIdentity{name: 'Andrés', surname: 'Escobar', email: 'manager2@acme.com'}",manager2,manager2
user-account-airline-manager-03,true,"UserIdentity{name: 'Anabel', surname: 'Escobar', email: 'manager3@acme.com'}",manager3,manager3
user-account-flight-crew-member-01,true,"UserIdentity{name: 'Juan', surname: 'Gomez', email: 'member1@acme.com'}",member1,member1
user-account-flight-crew-member-02,true,"UserIdentity{name: 'Antonio', surname: 'Lucena', email: 'member2@acme.com'}",member2,member2
user-account-flight-crew-member-03,true,"UserIdentity{name: 'Manuel', surname: 'Montoya', email: 'member3@acme.com'}",member3,member3
user-account-flight-crew-member-04,true,"UserIdentity{name: 'Fran', surname: 'Sanchez', email: 'member4@acme.com'}",member4,member4
user-account-flight-crew-member-05,true,"UserIdentity{name: 'Pablo', surname: 'Garcia', email: 'member5@acme.com'}",member5,member5
user-account-customer-01,true,"UserIdentity{name: 'Natalia', surname: 'Sanchez', email: 'customer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Emma', surname: 'Cabello', email: 'customer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Jesus', surname: 'Martin', email: 'customer3@acme.com'}",customer3,customer3

user-account-assistanceAgent-00,true,"UserIdentity{name: 'Isabel', surname: 'Romero', email: 'agent0@acme.com'}",agent0,agent0
user-account-assistanceAgent-01,true,"UserIdentity{name: 'Mario', surname: 'Coronel', email: 'agent1@acme.com'}",agent1,agent1
user-account-assistanceAgent-02,true,"UserIdentity{name: 'Luis', surname: 'Martín', email: 'agent2@acme.com'}",agent2,agent2
